datetime,pollutant,units,measurement,latitude,longitude
2016-03-25 01:00:00+00:00,pm25,µg/m³,6.0,52.136055,-106.662796
2016-03-25 02:00:00+00:00,pm25,µg/m³,6.0,52.136055,-106.662796
2016-03-25 03:00:00+00:00,pm25,µg/m³,6.0,52.136055,-106.662796
2016-03-25 04:00:00+00:00,pm25,µg/m³,7.0,52.136055,-106.662796
2016-03-25 05:00:00+00:00,pm25,µg/m³,7.0,52.136055,-106.662796
2016-03-25 06:00:00+00:00,pm25,µg/m³,7.0,52.136055,-106.662796
2016-03-25 07:00:00+00:00,pm25,µg/m³,6.0,52.136055,-106.662796
2016-03-25 08:00:00+00:00,pm25,µg/m³,4.0,52.136055,-106.662796
2016-03-25 09:00:00+00:00,pm25,µg/m³,5.0,52.136055,-106.662796
2016-03-25 10:00:00+00:00,pm25,µg/m³,10.0,52.136055,-106.662796
2016-03-25 11:00:00+00:00,pm25,µg/m³,13.0,52.136055,-106.662796
2016-03-25 12:00:00+00:00,pm25,µg/m³,13.0,52.136055,-106.662796
2016-03-25 13:00:00+00:00,pm25,µg/m³,12.0,52.136055,-106.662796
2016-03-25 14:00:00+00:00,pm25,µg/m³,12.0,52.136055,-106.662796
2016-03-25 15:00:00+00:00,pm25,µg/m³,12.0,52.136055,-106.662796
2016-03-26 14:00:00+00:00,pm25,µg/m³,4.0,52.136055,-106.662796
2016-03-26 15:00:00+00:00,pm25,µg/m³,3.0,52.136055,-106.662796
2016-03-26 16:00:00+00:00,pm25,µg/m³,4.0,52.136055,-106.662796
2016-03-26 17:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-26 18:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-26 19:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-26 20:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-26 21:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-26 22:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
2016-03-26 23:00:00+00:00,pm25,µg/m³,2.0,52.136055,-106.662796
